Time,Value
"Apr, 1983","$1,269.50"
"May, 1983","$1,274.64"
"Jun, 1983","$1,200.12"
"Jul, 1983","$1,223.00"
"Aug, 1983","$1,201.14"
"Sep, 1983","$1,180.50"
"Nov, 1983","$1,091.89"
"Dec, 1983","$1,107.44"
"Jan, 1984","$1,051.96"
"Feb, 1984","$1,091.29"
"Mar, 1984","$1,110.66"
"Apr, 1984","$1,068.07"
"May, 1984","$1,056.36"
"Jun, 1984","$1,051.35"
"Jul, 1984",$962.95
"Aug, 1984",$962.36
"Sep, 1984",$939.10
"Oct, 1984",$933.42
"Nov, 1984",$936.61
"Dec, 1984",$877.51
"Feb, 1985",$813.52
"Mar, 1985",$827.24
"Apr, 1985",$878.96
"May, 1985",$852.65
"Jun, 1985",$850.14
"Jul, 1985",$851.86
"Aug, 1985",$883.33
"Sep, 1985",$861.80
"Oct, 1985",$866.81
"Nov, 1985",$862.43
"Dec, 1985",$850.66
"Jan, 1986",$912.35
"Feb, 1986",$895.60
"Apr, 1986",$906.97
"May, 1986",$909.31
"Jun, 1986",$904.60
"Jul, 1986",$920.52
"Aug, 1986",$994.34
"Sep, 1986","$1,096.55"
"Oct, 1986","$1,109.02"
"Nov, 1986","$1,041.55"
"Dec, 1986","$1,022.33"
"Jan, 1987","$1,061.55"
"Feb, 1987","$1,039.04"
"Mar, 1987","$1,055.43"
"Apr, 1987","$1,126.75"
"Jun, 1987","$1,145.28"
"Jul, 1987","$1,146.35"
"Aug, 1987","$1,164.09"
"Sep, 1987","$1,157.02"
"Oct, 1987","$1,167.48"
"Nov, 1987","$1,172.37"
"Dec, 1987","$1,219.28"
"Jan, 1988","$1,189.25"
"Feb, 1988","$1,100.27"
"Mar, 1988","$1,101.09"
"Apr, 1988","$1,115.05"
"May, 1988","$1,110.26"
"Jun, 1988","$1,104.66"
"Jul, 1988","$1,067.65"
"Sep, 1988",$994.20
"Oct, 1988",$979.17
"Nov, 1988","$1,010.41"
"Dec, 1988","$1,004.99"
"Jan, 1989",$963.32
"Feb, 1989",$921.59
"Mar, 1989",$922.01
"Apr, 1989",$902.89
"May, 1989",$865.40
"Jun, 1989",$857.21
"Jul, 1989",$871.29
"Aug, 1989",$847.15
"Sep, 1989",$837.10
"Oct, 1989",$844.90
"Dec, 1989",$938.41
"Jan, 1990",$931.40
"Feb, 1990",$941.05
"Mar, 1990",$880.90
"Apr, 1990",$839.53
"May, 1990",$825.93
